"","student_id","factor1","factor2","factor3","factor4","factor5","gpa"
"245","f9c5b66829f78f19f4abaf560b0dd4dd",7.35625,7.883333333,7.0875,6.95,6.525,9
"246","4d3054a42917ff367c6424d016f1bf98",7.91875,8.09,7.25,7.6,7.775,6.35
"247","8fbbb7878000db49bf5d2220fd1a434c",7.69375,7.825,7.1625,7,7.2,7.2
"248","c4a93bd5258f7c4877c37049b0824711",7.33125,7.241666667,7.975,8.85,6.983333333,6.5
"249","4c6840320314147d932c94f66b88d4ef",6.009090909,6.707142857,7.825,6.9,6.35,6.7
"250","b9134a7109083fc6cebce98ae8864c6c",6.472222222,7.433333333,6.89,6.05,6.55,6.2
"251","56633c8e5cb92861a38f90cfc987ab19",5.653846154,5.375,5.35,3.4125,5.98,5.15
"252","f3760693185f923f3f8425d2652636ec",5.806666667,6.321428571,7.3,5.625,4.5,6.55
"253","78087b0da9808ebbe6bf31aa8acc87ba",5.878571429,6.65,7.4,5.45,6.25,6.25
"254","aca83cf21cddaf40d110977f85921bf7",5.911538462,5.90625,6.683333333,7.35,5.516666667,6.05
"255","2f72b91b905780794bd9fb58baf48bbf",6.79375,7.525,7.025,7.1,6.475,7.1
"256","39e33cc8e0a8a3cedfdd69e60f3d2b50",6.4,6.414285714,7.05,5.725,5.75,5.35
"257","a3689be85701a79de158fc49a3640e97",7.1375,7.133333333,7.725,7.95,7,9.25
"258","a6876b7c3079b96c1b0374f148cd6b8b",8.39375,8.36,7.85,6.6,9.725,8.25
"259","8ec12bc275d41bfda5bd79854a3922f7",7.61875,7.9,7.7625,7.5,7.575,7.5
"260","b8fe1f8a17fd4fb06e7eb97c9876f30a",8.73125,8.091666667,8.325,8.3,8.975,6.45
"261","c46393c704accc1aa230a0f1b36d41fc",6.29,6.871428571,6.7,6.3,6.825,6.8
"262","33bf731669ba7a8c970dbeb6ac125c50",7.825,7.116666667,7.4625,8.1,7.3,6.5
"263","6918abff1c0c111b0e5f12333cc2a13b",7.333333333,7.021428571,7.8625,7.3,6,6.05
"264","a33c88927f252324139886daeac7be2b",6.68,6.628571429,7.4625,6.425,6.933333333,7.1
"265","f27961d8ceaf6380924c0d89561f2053",6.738888889,7.741666667,7.24,6,7.15,6.2
"266","1febce3e057b4c2ca50532ed7e71d0cd",6.045833333,6.35,7.066666667,6.05,3.757142857,8.1
"267","1f4327d667f749e9b61147d66c1b33ee",6.938888889,8.175,7.875,6.875,7.3,8.5
